Reactor Number,Time ,Sand,Water,Biomass ,Respiration ,Year
21,35,PZS,GW,1.072269789,47.80179494,2014
22,0,PZS,AGW,2.119674057,103.7423809,2014
22,7,PZS,AGW,1.610377924,43.43007937,2014
22,14,PZS,AGW,0.841349124,6.948686988,2014
22,21,PZS,AGW,1.005983333,93.43711423,2014
22,28,PZS,AGW,0.669455333,63.44905251,2014
22,35,PZS,AGW,1.106164224,100.1173186,2014
23,0,PZS,AGW,1.992606468,139.9643309,2014
23,7,PZS,AGW,1.520201985,117.6580182,2014
23,14,PZS,AGW,1.189141433,62.19157818,2014
23,21,PZS,AGW,0.871841254,83.01429514,2014
23,28,PZS,AGW,0.740046745,74.37311783,2014
23,35,PZS,AGW,0.740046745,34.3609164,2014
24,0,PZS,RW,1.235225103,65.22242572,2014
24,7,PZS,RW,0.489199781,62.51965175,2014
24,14,PZS,RW,0.641116815,39.69257277,2014
24,21,PZS,RW,0.956148529,36.89037852,2014
24,28,PZS,RW,1.111483361,49.97630109,2014
24,35,PZS,RW,1.246760235,61.00937904,2014
25,0,PZS,RW,1.708459415,70.51744927,2014
25,7,PZS,RW,0.97747819,40.25628692,2014
25,14,PZS,RW,0.788502412,10.90827098,2014
25,21,PZS,RW,1.015530964,54.06448179,2014
25,28,PZS,RW,0.793762478,47.04622871,2014
25,35,PZS,RW,1.344288062,66.74376492,2014
26,0,PZS,RW,1.952498098,62.13982037,2014
26,7,PZS,RW,1.370757712,51.84113741,2014
26,14,PZS,RW,0.471998593,31.8185511,2014
26,21,PZS,RW,0.776017693,68.19774765,2014
26,28,PZS,RW,1.046648851,43.60133685,2014
26,35,PZS,RW,1.452796378,55.60740771,2014
27,0,PZS,ARW,1.416806596,94.74993098,2014
27,7,PZS,ARW,0.781688395,28.38906954,2014
27,14,PZS,ARW,0.621114648,20.3311619,2014
27,21,PZS,ARW,0.448277241,52.99284355,2014
27,28,PZS,ARW,0.441874955,48.87070552,2014
27,35,PZS,ARW,1.18964557,51.83084944,2014
28,0,PZS,ARW,1.240805115,92.96993965,2014
28,7,PZS,ARW,1.418881084,37.48985515,2014
28,14,PZS,ARW,0.742839525,38.92046518,2014
28,21,PZS,ARW,0.773684989,59.75985942,2014
28,28,PZS,ARW,0.961361027,62.20948493,2014
28,35,PZS,ARW,0.990603637,55.70997219,2014
1,0,GWS,GW,0.072825,14.68981457,2015
1,7,GWS,GW,0.680426667,24.7203302,2015
1,14,GWS,GW,0.751886207,18.48454395,2015
1,21,GWS,GW,0.650905455,24.93776102,2015
1,28,GWS,GW,0.522179661,14.69053826,2015
1,35,GWS,GW,0.793772414,18.37678299,2015
1,42,GWS,GW,0.649890625,9.835275408,2015
2,0,GWS,GW,0.039522807,14.192711,2015
2,7,GWS,GW,0.53254386,21.53754951,2015
2,14,GWS,GW,0.644921311,11.50517557,2015
2,21,GWS,GW,0.604877966,20.08227603,2015
2,28,GWS,GW,0.583225,32.40817078,2015
2,35,GWS,GW,0.818711111,17.82344225,2015
2,42,GWS,GW,0.837748276,26.31134908,2015
3,0,GWS,GW,0.058675,13.06954068,2015
3,7,GWS,GW,0.694053968,30.18258047,2015
3,14,GWS,GW,0.930120755,12.85541618,2015
3,21,GWS,GW,0.644289552,13.9766799,2015
3,28,GWS,GW,1.093367213,16.44097968,2015
3,35,GWS,GW,1.009014493,19.46184764,2015
3,42,GWS,GW,0.695603571,12.61974585,2015
4,0,GWS,AGW,0.03037931,32.25467655,2015
4,7,GWS,AGW,0.534752381,43.96645611,2015
4,14,GWS,AGW,0.970834615,34.82304985,2015
4,21,GWS,AGW,0.701895082,23.98069829,2015
4,28,GWS,AGW,0.587728125,46.88563233,2015
4,35,GWS,AGW,0.929135714,23.49163692,2015
4,42,GWS,AGW,1.281751852,37.21441296,2015
5,0,GWS,AGW,0.043906122,28.65871491,2015
5,7,GWS,AGW,0.359526471,16.13195016,2015
5,14,GWS,AGW,1.00904,56.65920914,2015
5,21,GWS,AGW,0.565537931,34.07334102,2015
5,28,GWS,AGW,0.633734545,19.12276818,2015
5,35,GWS,AGW,1.256672131,23.33828298,2015
5,42,GWS,AGW,0.636417647,16.4549772,2015
6,0,GWS,AGW,0.043457692,19.68115237,2015
6,7,GWS,AGW,0.576324,37.79127795,2015
6,14,GWS,AGW,0.746753571,34.73006384,2015
6,21,GWS,AGW,0.691377778,35.89636565,2015
6,28,GWS,AGW,1.359951852,25.00465039,2015
6,35,GWS,AGW,1.564243333,34.90310815,2015
6,42,GWS,AGW,0.826661538,19.83184527,2015
7,0,GWS,RW,0.057298039,22.82845309,2015
7,7,GWS,RW,1.395947826,65.07910616,2015
7,14,GWS,RW,1.159498246,73.44470964,2015
